,Version,Test,Dataset,Variable,Response Time (s)
20,3.10.5,transect,riops_fc_3dps,votemper,9.7451
21,3.10.5,transect,riops_fc_3dps,vosaline,10.2972
22,3.10.5,transect,riops_fc_3dps,sspeed,11.1604
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.6691
24,3.10.5,hovmoller,giops_day,votemper,6.3203
25,3.10.5,hovmoller,giops_day,vosaline,6.2745
26,3.10.5,hovmoller,giops_day,sspeed,6.886
27,3.10.5,hovmoller,giops_day,magwatervel,7.1343
28,3.10.5,hovmoller,riops_fc_3dps,votemper,9.9119
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,9.9087
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,15.3951
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,15.3948
32,3.10.5,area,giops_day,votemper,4.2394
33,3.10.5,area,giops_day,vosaline,4.4447
34,3.10.5,area,giops_day,sspeed,4.3005
35,3.10.5,area,giops_day,magwatervel,4.2747
37,3.10.5,area,riops_fc_3dps,votemper,8.4688
38,3.10.5,area,riops_fc_3dps,vosaline,8.0445
39,3.10.5,area,riops_fc_3dps,sspeed,8.6693
40,3.10.5,area,riops_fc_3dps,magwatervel,7.8017
41,3.10.5,subset,giops_day,votemper,0.8279
42,3.10.5,subset,riops_fc_3dps,votemper,1.8606
0,3.10.5,profile,giops_day,votemper,1.6739
1,3.10.5,profile,giops_day,vosaline,1.5967
2,3.10.5,profile,giops_day,sspeed,2.212
3,3.10.5,profile,giops_day,magwatervel,1.9971
4,3.10.5,profile,riops_fc_3dps,votemper,2.8296
5,3.10.5,profile,riops_fc_3dps,vosaline,2.4721
6,3.10.5,profile,riops_fc_3dps,sspeed,3.3178
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.5472
8,3.10.5,virtual mooring,giops_day,votemper,1.6501
9,3.10.5,virtual mooring,giops_day,vosaline,1.7577
10,3.10.5,virtual mooring,giops_day,sspeed,2.3391
11,3.10.5,virtual mooring,giops_day,magwatervel,3.0982
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,4.7155
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.6015
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,7.9817
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,10.1529
16,3.10.5,transect,giops_day,votemper,11.4303
17,3.10.5,transect,giops_day,vosaline,9.5764
18,3.10.5,transect,giops_day,sspeed,8.5008
19,3.10.5,transect,giops_day,magwatervel,9.0754
20,3.10.5,transect,riops_fc_3dps,votemper,10.6391
21,3.10.5,transect,riops_fc_3dps,vosaline,10.0499
22,3.10.5,transect,riops_fc_3dps,sspeed,11.6769
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.2727
24,3.10.5,hovmoller,giops_day,votemper,6.2997
25,3.10.5,hovmoller,giops_day,vosaline,6.3609
